#time,cat_index,cat,V_level
0,0,Fluid,3
10,0,Fluid,3
20,0,Fluid,3
30,0,Fluid,3
40,0,Fluid,3
50,0,Fluid,3
60,0,Fluid,3
70,0,Fluid,3
80,0,Fluid,3
90,0,Fluid,3
100,0,Fluid,3
110,0,Fluid,3
120,0,Fluid,3
130,0,Fluid,3
140,0,Fluid,3
150,0,Fluid,3
160,0,Fluid,3
170,1,Defective,3
180,0,Fluid,3
190,0,Fluid,3
200,0,Fluid,3
210,0,Fluid,3
220,0,Fluid,3
230,0,Fluid,3
240,0,Fluid,3
250,0,Fluid,3
260,1,Defective,3
270,1,Defective,3
280,1,Defective,3
290,1,Defective,3
300,1,Defective,3
310,1,Defective,3
320,1,Defective,3
330,1,Defective,3
340,1,Defective,3
350,1,Defective,3
360,1,Defective,3
370,1,Defective,3
380,1,Defective,3
390,1,Defective,3
400,1,Defective,3
410,1,Defective,3
420,1,Defective,3
430,1,Defective,3
440,1,Defective,3
450,1,Defective,3
460,1,Defective,3
470,1,Defective,3
480,1,Defective,3
490,1,Defective,3
500,1,Defective,3
510,1,Defective,3
520,1,Defective,3
530,1,Defective,3
540,1,Defective,3
550,1,Defective,3
560,1,Defective,3
570,1,Defective,3
580,0,Fluid,3
590,1,Defective,3
600,1,Defective,3
610,1,Defective,3
620,1,Defective,3
630,1,Defective,3
640,1,Defective,3
650,1,Defective,3
660,1,Defective,3
670,0,Fluid,3
680,0,Fluid,3
690,0,Fluid,3
700,0,Fluid,3
710,0,Fluid,3
720,1,Defective,3
730,1,Defective,3
740,1,Defective,3
750,1,Defective,3
760,1,Defective,3
770,1,Defective,3
780,1,Defective,3
790,1,Defective,3
800,1,Defective,3
810,1,Defective,3
820,0,Fluid,3
830,1,Defective,3
840,0,Fluid,3
850,1,Defective,3
860,1,Defective,3
870,1,Defective,3
880,1,Defective,3
890,1,Defective,3
900,1,Defective,3
910,1,Defective,3
920,1,Defective,3
930,1,Defective,3
940,1,Defective,3
950,1,Defective,3
960,1,Defective,3
970,1,Defective,3
980,1,Defective,3
990,1,Defective,3
