#step,cat_index,cat 
0,0,Fluid
1,0,Fluid
2,0,Fluid
3,0,Fluid
4,0,Fluid
5,0,Fluid
6,0,Fluid
7,0,Fluid
8,0,Fluid
9,0,Fluid
10,0,Fluid
11,0,Fluid
12,0,Fluid
13,0,Fluid
14,0,Fluid
15,0,Fluid
16,0,Fluid
17,0,Fluid
18,0,Fluid
19,0,Fluid
20,0,Fluid
21,0,Fluid
22,0,Fluid
23,0,Fluid
24,0,Fluid
25,0,Fluid
26,0,Fluid
27,0,Fluid
28,0,Fluid
29,0,Fluid
30,0,Fluid
31,0,Fluid
32,0,Fluid
33,0,Fluid
34,0,Fluid
35,0,Fluid
36,0,Fluid
37,0,Fluid
38,0,Fluid
39,0,Fluid
40,0,Fluid
41,0,Fluid
42,0,Fluid
43,0,Fluid
44,0,Fluid
45,0,Fluid
46,0,Fluid
47,0,Fluid
48,0,Fluid
49,0,Fluid
50,0,Fluid
51,0,Fluid
52,0,Fluid
53,0,Fluid
54,0,Fluid
55,0,Fluid
56,0,Fluid
57,0,Fluid
58,0,Fluid
59,0,Fluid
60,0,Fluid
61,0,Fluid
62,0,Fluid
63,0,Fluid
64,0,Fluid
65,0,Fluid
66,0,Fluid
67,0,Fluid
68,0,Fluid
69,0,Fluid
70,0,Fluid
71,0,Fluid
72,0,Fluid
73,0,Fluid
74,0,Fluid
75,0,Fluid
76,0,Fluid
77,0,Fluid
78,0,Fluid
79,0,Fluid
80,0,Fluid
81,0,Fluid
82,0,Fluid
83,0,Fluid
84,0,Fluid
85,0,Fluid
86,0,Fluid
87,0,Fluid
88,0,Fluid
89,0,Fluid
90,0,Fluid
91,0,Fluid
92,0,Fluid
93,0,Fluid
94,0,Fluid
95,0,Fluid
96,0,Fluid
97,0,Fluid
98,0,Fluid
99,0,Fluid
100,1,Defective
101,0,Fluid
102,1,Defective
103,1,Defective
104,1,Defective
105,1,Defective
106,0,Fluid
107,0,Fluid
108,1,Defective
109,1,Defective
110,1,Defective
111,1,Defective
112,1,Defective
113,1,Defective
114,1,Defective
115,1,Defective
116,1,Defective
117,1,Defective
118,1,Defective
119,1,Defective
120,1,Defective
121,1,Defective
122,1,Defective
123,1,Defective
124,1,Defective
125,1,Defective
126,1,Defective
127,1,Defective
128,1,Defective
129,1,Defective
130,1,Defective
131,1,Defective
132,1,Defective
133,1,Defective
134,1,Defective
135,1,Defective
136,1,Defective
137,1,Defective
138,1,Defective
139,1,Defective
140,1,Defective
141,1,Defective
142,1,Defective
143,1,Defective
144,1,Defective
145,1,Defective
146,1,Defective
147,1,Defective
148,1,Defective
149,1,Defective
150,1,Defective
151,1,Defective
152,1,Defective
153,1,Defective
154,1,Defective
155,1,Defective
156,1,Defective
157,1,Defective
158,1,Defective
159,1,Defective
160,1,Defective
161,1,Defective
162,1,Defective
163,1,Defective
164,1,Defective
165,1,Defective
166,1,Defective
167,1,Defective
168,1,Defective
169,1,Defective
170,1,Defective
171,1,Defective
172,1,Defective
173,1,Defective
174,1,Defective
175,1,Defective
176,1,Defective
177,1,Defective
178,1,Defective
179,1,Defective
180,1,Defective
181,1,Defective
182,1,Defective
183,1,Defective
184,1,Defective
185,1,Defective
186,1,Defective
187,1,Defective
188,1,Defective
189,1,Defective
190,1,Defective
191,1,Defective
192,1,Defective
193,1,Defective
194,1,Defective
195,1,Defective
196,1,Defective
197,1,Defective
198,1,Defective
199,1,Defective
200,1,Defective
201,1,Defective
202,1,Defective
203,1,Defective
204,1,Defective
205,1,Defective
206,1,Defective
207,1,Defective
208,1,Defective
209,1,Defective
210,1,Defective
211,1,Defective
212,1,Defective
213,1,Defective
214,1,Defective
215,1,Defective
216,1,Defective
217,1,Defective
218,1,Defective
219,1,Defective
220,1,Defective
221,1,Defective
222,1,Defective
223,1,Defective
224,1,Defective
225,1,Defective
226,1,Defective
227,1,Defective
228,1,Defective
229,1,Defective
230,1,Defective
231,1,Defective
232,1,Defective
233,1,Defective
234,1,Defective
235,1,Defective
236,1,Defective
237,1,Defective
238,1,Defective
239,1,Defective
240,1,Defective
241,1,Defective
242,1,Defective
243,1,Defective
244,1,Defective
245,1,Defective
246,1,Defective
247,1,Defective
248,1,Defective
249,1,Defective
250,1,Defective
251,1,Defective
252,1,Defective
253,1,Defective
254,1,Defective
255,1,Defective
256,1,Defective
257,1,Defective
258,1,Defective
259,1,Defective
260,1,Defective
261,1,Defective
262,1,Defective
263,1,Defective
264,1,Defective
265,1,Defective
266,1,Defective
267,1,Defective
268,1,Defective
269,1,Defective
270,1,Defective
271,1,Defective
272,1,Defective
273,1,Defective
274,1,Defective
275,1,Defective
276,1,Defective
277,1,Defective
278,1,Defective
279,1,Defective
280,1,Defective
281,1,Defective
282,1,Defective
283,1,Defective
284,1,Defective
285,1,Defective
286,1,Defective
287,1,Defective
288,1,Defective
289,1,Defective
290,1,Defective
291,1,Defective
292,1,Defective
293,1,Defective
294,1,Defective
295,1,Defective
296,1,Defective
297,1,Defective
298,1,Defective
299,1,Defective
300,1,Defective
301,1,Defective
302,1,Defective
303,1,Defective
304,1,Defective
305,1,Defective
306,1,Defective
307,1,Defective
308,1,Defective
309,1,Defective
310,1,Defective
311,1,Defective
312,1,Defective
313,1,Defective
314,1,Defective
315,1,Defective
316,1,Defective
317,1,Defective
318,1,Defective
319,1,Defective
320,1,Defective
321,1,Defective
322,1,Defective
323,1,Defective
324,1,Defective
325,1,Defective
326,1,Defective
327,1,Defective
328,1,Defective
329,1,Defective
330,1,Defective
